author,ngram,weight
CharlesDickens, ‘,2.7808120552359727
CharlesDickens,‘,2.7671975919167258
CharlesDickens,’ ,2.381534337594211
CharlesDickens,Mr ,2.2563962084685287
CharlesDickens, Mr ,2.194325411263793
CharlesDickens,. ‘,2.1435184101552696
CharlesDickens,Mr <,1.8591500489073765
CharlesDickens,Mr <P,1.8192297132497186
CharlesDickens, Mr <,1.8095414392182523
CharlesDickens,’ ‘,1.638442242958564
CharlesDickens,",’",1.5858285463526334
CharlesDickens,!’ ,1.584955555856674
CharlesDickens,!’,1.5834694423531044
CharlesDickens,",’ ",1.5820723715754914
CharlesDickens,’ sa,1.4731232870858482
CharlesDickens,’,1.4595375810845652
CharlesDickens,’ s,1.4532458276094604
CharlesDickens,.’ ,1.4271807997626753
CharlesDickens,’ sai,1.4110329081862942
CharlesDickens,.’,1.3491496630899045
Chesterton,man ,1.0066147858025398
Chesterton, man ,0.9594690507047768
Chesterton,..,0.9546416717981452
Chesterton,c ,0.9343849736122576
Chesterton,ic ,0.9267584034151983
Chesterton, real,0.8993416216780994
Chesterton,',0.8989196370765419
Chesterton,real,0.8859650663240267
Chesterton,reall,0.8550180578373058
Chesterton,eall,0.8414970462999714
Chesterton,eally,0.8414970462999714
Chesterton,alis,0.8201281730277997
Chesterton,like ,0.8184776307352695
Chesterton,ally ,0.8130935324990602
Chesterton,even ,0.7854451756304958
Chesterton,...,0.7796007324614113
Chesterton,ally,0.77485802003493
Chesterton,ike ,0.7739916177841712
Chesterton,becau,0.7644201401338715
Chesterton,ecaus,0.7579291387853765
EdgarAllanPoe,—,1.7156190175449526
EdgarAllanPoe,"""",1.178783385646917
EdgarAllanPoe,—a,1.0691718606912113
EdgarAllanPoe,—t,1.0683194877272595
EdgarAllanPoe,—th,1.048443752284868
EdgarAllanPoe,e—,0.9985742394687803
EdgarAllanPoe," """,0.9665922470948777
EdgarAllanPoe,pon ,0.9628071678322185
EdgarAllanPoe,s—,0.9340261393717649
EdgarAllanPoe, alt,0.925536375291576
EdgarAllanPoe,upon ,0.9231325544464284
EdgarAllanPoe,upo,0.9084490114516933
EdgarAllanPoe,upon,0.8983059399707851
EdgarAllanPoe, upo,0.888745276123249
EdgarAllanPoe, upon,0.888745276123249
EdgarAllanPoe,),0.8852178157530453
EdgarAllanPoe,pon t,0.8838092422431426
EdgarAllanPoe,_,0.8764630885564133
EdgarAllanPoe,(,0.8747583984442487
EdgarAllanPoe,) ,0.8699977076402482
HermanMelville,hale,1.7486833047776462
HermanMelville,whal,1.7327136203658582
HermanMelville, whal,1.7242148839540417
HermanMelville,whale,1.6706251917240413
HermanMelville, ship,1.6365594761088913
HermanMelville,sail,1.5557532958101095
HermanMelville, sail,1.5026286210317783
HermanMelville, shi,1.3256502269535644
HermanMelville,ship,1.2959247495329531
HermanMelville,hip,1.2778519346889654
HermanMelville,lor,1.2679446519588868
HermanMelville,sailo,1.2200417317049377
HermanMelville,ailo,1.2069653073397608
HermanMelville,ailor,1.2069653073397608
HermanMelville,ilor,1.2069653073397608
HermanMelville,e shi,1.0592478053616217
HermanMelville,; a,1.0488832471964187
HermanMelville,; and,1.037029521463317
HermanMelville,; an,1.0265120506041878
HermanMelville,s;,1.0241173994758812
JaneAusten, her ,1.3973977599226135
JaneAusten,she ,1.2837962829797054
JaneAusten, she ,1.2791054089541727
JaneAusten, she,1.188056265120031
JaneAusten, her,1.1573664994929576
JaneAusten,.” “,1.0654116851660842
JaneAusten,” “,1.0496521674971282
JaneAusten,.” ,1.0216698430303013
JaneAusten,.”,1.010738934438634
JaneAusten,; and,0.997240006114055
JaneAusten,Mr,0.9783884607559702
JaneAusten,; an,0.9781865852048399
JaneAusten,Mrs.,0.9775101688945239
JaneAusten,Mrs. ,0.9760942477409148
JaneAusten,Mrs,0.9758181159111032
JaneAusten, sis,0.9583610299333554
JaneAusten, sist,0.9583610299333554
JaneAusten,. <P,0.9491976677737177
JaneAusten,. <PE,0.9491976677737177
JaneAusten,rs. <,0.9447304394054464
MarkTwain,--,2.9773620641593506
MarkTwain,',2.2519199075905445
MarkTwain, ',2.1841238412185024
MarkTwain,' ,2.1049700405122844
MarkTwain,-- ,1.3649330326919513
MarkTwain,--a,1.3135572182861825
MarkTwain,- ,1.3029372013898255
MarkTwain,-a,1.250226077617326
MarkTwain,.',1.2273505851857829
MarkTwain,.' ,1.2267401186121716
MarkTwain,- “,1.1254788057362912
MarkTwain,-- “,1.1254788057362912
MarkTwain,e--,1.0756633659698334
MarkTwain,-,1.0612784966482385
MarkTwain,d--,1.0596554422543984
MarkTwain,'s,1.0582080811794092
MarkTwain, got,1.025496721892548
MarkTwain,-and,1.0178670341640883
MarkTwain,-an,1.0073593763138855
MarkTwain,King,0.9918000846749121
OscarWilde, art,1.2474433741702247
OscarWilde,rtist,1.0777683012774097
OscarWilde,artis,1.067596524607401
OscarWilde,tist,1.0584408031144539
OscarWilde,rtis,0.9949644889279723
OscarWilde, ‘,0.9403055808820053
OscarWilde,‘,0.9332348085297613
OscarWilde, art ,0.8295274513636377
OscarWilde, life,0.8057541355524972
OscarWilde,life,0.8024153645042306
OscarWilde,e art,0.7955632779760928
OscarWilde, And,0.7762657521235348
OscarWilde, G,0.7751703400224551
OscarWilde, And ,0.7749122429554326
OscarWilde, arti,0.7737870024875553
OscarWilde,ife,0.7661202849333216
OscarWilde, love,0.7586704182918788
OscarWilde,", An",0.7430324927158102
OscarWilde, L,0.7378436614718537
OscarWilde,", And",0.7353913459459225
VirginiaWoolf,she ,1.8089044888527948
VirginiaWoolf, she ,1.801151863535007
VirginiaWoolf, she,1.6928987292221618
VirginiaWoolf,” she,1.61049985893234
VirginiaWoolf,” sh,1.5608406436026818
VirginiaWoolf,"""",1.4523024619829152
VirginiaWoolf, her ,1.3877820789630584
VirginiaWoolf,She,1.352595083339232
VirginiaWoolf,She ,1.3257658285446237
VirginiaWoolf, She,1.2948574771925687
VirginiaWoolf, She ,1.2845672610183743
VirginiaWoolf,",” sh",1.2624215623240052
VirginiaWoolf,she,1.2450932375197163
VirginiaWoolf,Sh,1.2160590051136762
VirginiaWoolf, Sh,1.1887084433329769
VirginiaWoolf,. She,1.184054174892664
VirginiaWoolf,""" ",1.1828717902941803
VirginiaWoolf,she s,1.1600168457459494
VirginiaWoolf,. Sh,1.135805040850763
VirginiaWoolf," """,1.1079015742384006
